Year,State,Energy Price
1991,CO,5.03
1991,CT,6.08
1991,DC,5.14
1991,DE,5.55
1991,FL,5.36
1991,GA,5.81
1991,HI,5.78
1991,IA,5.21
1991,ID,5.5
1991,IL,5.58
1991,IN,5.25
1991,KS,4.64
1991,KY,5.05
1991,LA,5.08
1991,MA,5.76
1991,MD,5.41
1991,ME,5.73
1991,MI,6.12
1991,MN,5.53
1991,MO,5.28
1991,MS,4.9
1991,MT,4.67
1991,NC,5.54
1991,ND,4.6
1991,NE,5.01
1991,NH,5.53
1991,NJ,5.78
1991,NM,5.18
1991,NV,5.0
1991,NY,6.13
1991,OH,5.83
1991,OK,4.85
1991,OR,5.55
1991,PA,5.98
1991,RI,5.89
1991,SC,5.42
1991,SD,5.18
1991,TN,5.25
1991,TX,4.91
1991,US,5.59
1991,UT,5.06
1991,VA,5.48
1991,VT,5.24
1991,WA,5.61
1991,WI,5.56
1991,WV,5.68
1991,WY,4.94
1992,AK,4.96
1992,AL,5.25
1992,AR,4.99
1992,AZ,5.23
1992,CA,5.81
1992,CO,4.79
1992,CT,5.91
1992,DC,4.61
1992,DE,5.03
1992,FL,5.13
1992,GA,5.42
1992,HI,5.15
1992,IA,5.21
1992,ID,5.29
1992,IL,5.69
1992,IN,5.0
1992,KS,4.89
1992,KY,4.79
1992,LA,4.64
1992,MA,5.52
1992,MD,5.02
1992,ME,5.2
1992,MI,5.91
1992,MN,5.29
1992,MO,5.09
1992,MS,4.71
1992,MT,4.7
1992,NC,5.05
1992,ND,4.51
1992,NE,4.68
1992,NH,4.86
1992,NJ,5.25
1992,NM,4.57
1992,NV,4.7
1992,NY,5.7
1992,OH,5.27
1992,OK,4.85
1992,OR,4.96
1992,PA,5.76
1992,RI,5.01
1992,SC,5.17
1992,SD,5.16
1992,TN,5.21
1992,TX,4.53
1992,US,5.18
1992,UT,4.97
1992,VA,5.05
1992,VT,4.92
1992,WA,4.98
1992,WI,5.43
1992,WV,5.14
1992,WY,4.79
1993,AK,4.96
1993,AL,4.97
1993,AR,4.92
1993,AZ,5.51
1993,CA,5.78
1993,CO,4.81
1993,CT,5.98
1993,DC,5.22
1993,DE,4.67
1993,FL,5.27
1993,GA,5.27
1993,HI,5.45
1993,IA,5.0
1993,ID,5.29
1993,IL,5.44
1993,IN,5.08
1993,KS,4.62
1993,KY,5.05
1993,LA,4.34
1993,MA,5.32
1993,MD,4.96
1993,ME,4.99
1993,MI,5.95
1993,MN,5.64
1993,MO,5.01
1993,MS,4.81
1993,MT,4.84
1993,NC,5.2
1993,ND,4.48
1993,NE,4.5
1993,NH,4.8
1993,NJ,5.11
1993,NM,4.75
1993,NV,4.69
1993,NY,5.56
1993,OH,5.5
1993,OK,4.96
1993,OR,5.29
1993,PA,5.78
1993,RI,4.97
1993,SC,5.13
1993,SD,4.92
1993,TN,5.09
1993,TX,4.46
1993,US,5.14
1993,UT,4.91
1993,VA,4.96
1993,VT,5.16
1993,WA,5.19
1993,WI,5.22
1993,WV,5.2
1993,WY,4.72
1994,AK,4.53
1994,AL,4.85
1994,AR,4.3
1994,AZ,5.13
1994,CA,5.69
1994,CO,4.8
1994,CT,6.08
1994,DC,5.31
1994,DE,4.87
1994,FL,4.91
1994,GA,5.22
1994,HI,4.95
1994,IA,5.0
1994,ID,5.01
1994,IL,5.39
1994,IN,5.13
1994,KS,4.86
1994,KY,5.0
1994,LA,4.11
1994,MA,5.8
1994,MD,5.0
1994,ME,5.31
1994,MI,5.9
1994,MN,5.19
1994,MO,5.0
1994,MS,4.39
1994,MT,4.8
1994,NC,5.18
1994,ND,4.29
1994,NE,4.74
1994,NH,5.08
1994,NJ,5.29
1994,NM,4.46
1994,NV,4.77
1994,NY,5.62
1994,OH,5.67
1994,OK,4.84
1994,OR,4.76
1994,PA,5.99
1994,RI,5.42
1994,SC,5.0
1994,SD,4.82
1994,TN,5.33
1994,TX,4.34
1994,US,5.03
1994,UT,4.64
1994,VA,5.09
1994,VT,5.33
1994,WA,5.03
1994,WI,5.04
1994,WV,5.11
1994,WY,4.44
1995,AK,4.54
1995,AL,4.83
1995,AR,4.28
1995,AZ,5.22
1995,CA,5.69
1995,CO,4.77
1995,CT,5.65
1995,DC,4.97
1995,DE,4.7
1995,FL,5.17
1995,GA,5.08
